Label;edited
__label__NO;Запарили ці тупі клоуни уже своєю безглуздою популістською балаканиною
__label__NO;Зараз є автоматичні синтезатори ДНК та РНК
__label__HATE ;Зараз соціалісти (комуняки) хочуть повипускати вірусів  зробити весь світ жебраками  загнати всіх незадоволених в трудові концтабори  і правити
__label__HATE ;Зараз сюди набіжать пришелепкуваті антиковідники і будуть голосити про порушені права поляків
__label__NO;Заразились норки і датчани вирішили їх всіх ВБИТИ
__label__HATE ;Зате немає біндєр та правасєкав
__label__NO;Зачухались  коли купа народу задихнулась від нестачі кисню
__label__NO;зв
__label__NO;ЗВЕРТАЮСЬ до ДЕРЖАВНИХ Службовців ВСІХ рівнів з ПРОХАННЯМ максимально захистити ПРАВА і Безпеку Українців від діянь БАНДИ злодійського племені 
__label__NO;згідно твоєї логіки дотримання дистанції та відвідування магазину в масці це УНИЧТОЖИТЬ ЭКОНОМИКУ  малый и средний бизнес
__label__NO;Здорова  але дурна на всю голову
__label__HATE ;Зебіл вдягни маску
__label__HATE ;Зебіли  ви як захистили вчитeлів  що вони повинні по 35 дітeй вчити разом
__label__HATE ;Зебіли  ну пора вже починать щось робити
__label__HATE ;Зебуїни будуть їхати в морг по новим дорогам) 
__label__HATE ;Зебуїни живуть в своєму видуманому під наркотою світі
__label__HATE ;Зеленим сцикунам повірити - себе обманути
__label__NO;Зелені не в змозі забезпечити організацію боротьби з ковідом
__label__NO;Зеленского главы офиса президента А
__label__NO;Зеленую коронабанду - на кол
__label__NO;ЗЕлупи бояться  щоб народ не двинув на Майдан із Західної України
__label__NO;ЗІ Я на Вашу жилплощу не претендую
__label__HATE ;Змова жідомасонов-рєптілоїдов 
__label__HATE ;"Зніміть капелюха перед світлою пам""яттю тих   хто через ось таких ідіотів вже на тому світі ((( А після того як вшануєте пам""ять померлих сядьте і прочитайте яка кількість жителів у Японії і скільки у них хворих на COVID дякуючи тому що там тупоголових немає і всі дотримуються санітарних вимог"
__label__NO;знято з онкологічних лікувальних програм  100 млн
__label__NO;зразу викидуйте їх на смітник
__label__NO;Зразу кажу всі ви сор тировшики довбані і вся влада зразу в мусор підете
__label__NO;и коксу настає чергове покращення
__label__NO;истерию СМИ не нагнетали
__label__NO;і
__label__NO;І вони знають  що наїбали 73%
__label__HATE ;І зразу ж прокацаплені та опожоповські гниди почнуть волати  що в Україні немає демеократії  ущімляють та т
__label__NO;І как істінний бандьоровєц лічна вєшал московітов
__label__NO;І не тільки в нього
__label__NO;і ніколи ви нікого не чули
__label__HATE ;і ніякі війни і хвороби не допомагають ворогам  а їм потрібно для створення нової Хайфи лише 10 млн
__label__NO;І про яку епідемію патякає це тупе одоробло на прізвище Рубан
__label__NO;І решта  не з фонду також ніхрена  бо там давно вже провалля  вже більше 300 лярдів дефіциту  а пацани ж дорвались  а Бєня ж й собі ненаситний
__label__NO;і розкажіть ЯКІ МІРИ приймаються для ЇХ ПРОФІЛАКТИКИ
__label__HATE ;і саме на вихідні молоді свободолюбиві довбо
__label__NO;І скільки коштуватиме «правильне» рішення лікарів
__label__HATE ;і ти віриш кітайозам
__label__NO;і УВАГА  найстрашніше: дізнавшись про хворобу  не маючи елементарних коштів на харчування  а тим більше на лікування
__label__NO;і УВАГА  найстрашніше: дізнавшись про хворобу  не маючи елементарних коштів на харчування  а тим більше на лікування
__label__NO;І чого цей мутант без маски 
__label__NO;І як на мене - це найдієвіший спосіб боротьби КОВІД-19
__label__NO;Ідея чудова
__label__NO;Іди в дупу  дегенерат без освіти не цікавий мені як оппонент для полеміки
__label__NO;Ідіотка  ти теж на рашу працюєш
__label__HATE ;Їх привели до влади ЗЕлохи
__label__NO;"Їхнє завдання як і раніше - ""корона-19"" ета тот жє гріп  маскі нє нужньі  вас абманьівают"""
__label__NO;"йла ""усе під кантролєм"""
__label__NO;йлом до крайнощів та морально збочені
__label__NO;йню  але воочевидь що не завтра
__label__NO;ка себе дужжжже комфортно почувала я при Янеку   і при Порошенко   ну і при Зеленському « реформує медицину» критикуючи реформи Супрун
__label__NO;Каждий день работи сепарів шкода Україні
__label__HATE ;Казали шо у жабоїдів вже за 50 тищ
__label__NO;Калинчук
__label__NO;касяпен ПРИ ВЛАДІ що дурак вакцинуватись косяпенвакциною 
__label__HATE ;Китайози фуфлогони
__label__NO;Китайці будували медичні комплекси для боротьби с ковід за 10 днів
__label__NO;Класи пeрeповнeні  в сусідній школі вчитeлька згоріла від ковід  лишe 63 роки було
__label__HATE ;Кожен божий день зєдятли пробивають чергове дно своєю тупістю
__label__NO;коли 8 місяців керував уряд Гройсмана і коли не було ніякого ВеликБуду
__label__HATE ;Коли в країні 73% ідійотів  то це і не дивно
__label__NO;"Коли в країні медицину 6 років знищували (не зачіпаючи періоду президента-втікача)  керівниками були ""спеціалісти"" із соціальних питань (Квіташвілі О"
__label__NO;колись вошдь і хенералісімус всіх москалів сказав таку доволі цинічну  але відповідну тій країні фразу: неважно хто як голосує  важно кто считать буде
__label__HATE ;"комуняцько-китайська маріонетка  ""вооз""  зі своїм ""комуновірусом"" з Китаю"
__label__NO;Коронавіроус ми здолаєм  Три напрямки для цього маєм: Вірус зариємо в дороги  Без тендерів і застороги Пізніше Зрада все підправить  «Зе» як зробити їй порадить: На трьох пиляти «колда» фонд Щоб краще жив тройний «бомонд»: А це «квартал» «Ахметки»  «Бені»  Доботалися всі по «фені»
__label__HATE ;Короче  як бачиш ****** без маски  знай  перед тобою неадекват
__label__HATE ;Кремлівські заразили
__label__HATE ;крєатівниє крєтіни
__label__HATE ;Кричалі зебіки урра і в воздух трусікі бросалі
__label__NO;Кроти  поки-що  програють Борусії 3-0
__label__NO;Ліків від ковід19 НЕМАЄ- ще НЕ знайдено
__label__NO;лікування НЕДОСТУПНЕ для більшості Людей
__label__NO;Люди з явними ознаками захворювань ( кашель  температура) стоять в чергах у поліклініках щоб пройти рентген грудної клітки (флюорографію  щоб переконатись чи є запалення легень)  по 30-50 чол
__label__NO;Люди з явними ознаками захворювань ( кашель  температура) стоять в чергах у поліклініках щоб пройти рентген грудної клітки (флюорографію  щоб переконатись чи є запалення легень)  по 30-50 чол
__label__NO;люди поймуть а так як ви хочете і щоб не робили і святим духом питались і ще й мовчали
__label__NO;Людина - оце і є справжній вірус
__label__NO;М-да
__label__NO;"Мабуть агентура москалів підсипає; цікаво  що рівень хворих на коронавірус в Литви в 10 разів вищий  як в Естонії"
__label__HATE ;Мадяри - то русскіє з-за Урала
__label__HATE ;Майже співпадає з процентом ЗЕлохів
__label__NO;Малює піп московської церкви трофімов  чи малороска мендель
__label__NO;маска скоріше спасе від триперу ніж від корони
__label__NO;"Маски -це питання десяте  коли не 151  а цікаво кого і в який спосіб ( в умовах децентралізації та прямого народовладдя  галопуючої пандемії  яка давно вийшла з-під контролю)  населення має штрафувати чи прикладатись різками (чи може буком до 5-ї м""якої точки чиновників  бюрократів  міністрів) за розпил бюджетних коштів  виділених на боротьбу з Ковід   за відсутність медикаментів в лікувальних закладах  за саботаж та ігнорування вимог ст"
__label__NO;Маски треба носити  тільки від їх носіння люди кашляють  тому й не носять  або носять з носом назовні
__label__NO;Мати принесла двох цуценят 
__label__NO;Мда  ДЯКУЄМО  дуже 
__label__NO;Медицина то є мінне поле  але ранених і вбитих медициною не помітиш фарбою
__label__NO;мене підбішують навіть не ці злодюжки  які попілілі ковідівський бюджет  а ті ідіоти  які навіть захисні засоби не носять у переповнених автобусах
__label__HATE ;Меркава Я не знаю в зажопінців також немає електорату
__label__NO;Мертвечук зробив кацапську вакцину і
__label__HATE ;Ми думалі хуже нібудіт  кажуть тепер зебіли
__label__NO;Ми станемо самою здоровою нацією в світі
__label__NO;Ми теж
__label__NO;Ми тут йому тут кісточки перемиваємо  а він - старша людина  уже спить і бачить десятий сон
__label__NO;Моderna (25-37$)
__label__NO;"Моє місто ""прославилось"""
__label__NO;Мож позбутися їх
__label__NO;Може два строки зеленого президента
__label__HATE ;Можливо  сьогодні багато хто забув  а  скоріше  не хоче згадувати  що перед оголошенням блокування Ухані  вже коли йшло роздмухування паніки в цьому місті та країні в цілому  з нього дриснуло аж 5 мільйонів жителів
__label__HATE ;Можна вбивати хлопчиків відразу після народження
__label__NO;Можна навіть генераліссімуса
__label__HATE ;МОЗ немає більше чим зайнятися  ніж піарити кацапську херню
__label__NO;Молода ЗЕ-команда чудово підготувлась за пів року
__label__HATE ;Москалі в Омську  Пєрмі та інших мухосранськах ще восени 2019 року із температурами  задухами та пневмоніями лікарні наводнювали
__label__HATE ;Москалі для світу менш небезпечніші ніж китайці
__label__HATE ;Москалі зомбовані )(
__label__HATE ;московська секта
__label__NO;мягкій нє паможет
__label__NO;На війну ідуть добровільно або по мобілізаціїї
__label__NO;На жаль сценарій для України уже написаний  затверджений і маховик його реалізації запущений
__label__NO;На львівщині міжміські маршрути знизили вартість майже у два рази- народ перестав їздити їх дорогими скотовозками
__label__HATE ;на мадярщину відправляйте  хай сітро з орбаном попіклуються
__label__NO;на московії всьо будіт
__label__NO;На останніх виборах президента наша естонська популяція проголосувала за Бойка
__label__NO;На півдні Іспанії є цікавий регіон - Андалусія  більшість населення якого складають цигане
__label__HATE ;"На сьогоднішній день для України переклад слова ""локдаун"" повинен звучати - ""закрийте даунів"""
__label__NO;на сьомому році війни
__label__NO;Навіть зараз вони не вимагають зміни ЗЕвлади 
__label__NO;Навколо Кошице та далі на півдкнь там такі анклави ромів  що військові не допоможуть
__label__HATE ;Найбільш сумліні ті зебіли  які стараються  щоб в Україні вмерлих від короновіріруса людей стало стільки  що хоронили б в братських могилах
__label__HATE ;НАМОРДНИК - штрафи - це здійснює СІОНІСТСЬКА банда злодійського племені що захопила ВР   Уряд 
__label__NO;наперших етапах поширення інфекції 2
__label__NO;Наслідки знищення у 2004-2005 роках військ громадянської оборони міністром МНС України гей-генералом Ревою
__label__NO;Наступної пятниці буде 10 тис
__label__NO;нахрін публікувати ці цифірі  коли всі гроші  які виділені на боротьбу з ковідом  ПРОСРАНІ та СПИЖЖЕНІ
__label__NO;Наші приблизно вдвічі менше брешуть
__label__NO;Не  у нас без протокола ну никак
__label__NO;Не вівця з отари виходить
__label__NO;Не вірю жодному слову клептоманів  бариг  шулерів на зразок прокурорши Венедіктової  Степанова  Зеленського  Кравчука  Медведчука  Коломойського і іншої наволочі
__label__HATE ;"Не всі у Львові шароварні ідіоти які з криком ""армія-мова-віра"
__label__NO;Не давайте кацапам хай своєю користуються
__label__NO;Не дивись рен-тв
__label__NO;Не забуваємо  що ті хто називає себе гомосапіенс  насправді є звичайними приматами
__label__HATE ;"не знаю хто такі ""венгри""  а угорці на підсосі у кремля"
__label__NO;Не ну це якась дурня 
__label__NO;не треба плутати
__label__NO;Не ЧЕрткив  а Чорткив навіть на рассєянском
__label__NO;Не я переконую  а ваші на кожному кроці переконують
__label__NO;недороблений на війні с ковідом
__label__NO;нелогічна муйня  огусто
__label__NO;ненавиджу собак
__label__NO;"Нехай ""ув"
__label__NO;нею 
__label__HATE ;нє народ  а 73 % зедебілів
__label__NO;ні  не з Одеси
__label__NO;"Ні  це московитська ""добьіня"" з впн пише з Лахти-2"
__label__NO;Ні  це не Білл Гейтс і Ральф Барік  це малайзійський панголін переспав вже з європейським кроликом
__label__NO;ні до війни була тепер ні до смертельної епідеміїї
__label__NO;нікнейм не даст збрехати
__label__NO;Нічого ви не розумієте
__label__NO;ніщо не заважає запровадити режим НС і харчі за талонами  тільки мабуть зерно в сховищах зелені щури поїли
__label__NO;"Нові методики лікування від ""95 кварталу"""
__label__NO;норки
__label__NO;норки
__label__HATE ;ну  адєсса позбулась біндер і порохоботів  тепер хай лікується гусскім міром під відосіки пєдофіла пєтушарія
__label__NO;Ну  її подружка зрозуміла і приписала
__label__NO;Ну від тебе більшого я і не очікував )) конкретизувати ти не здатен  зрозуміти прості речі також
__label__NO;Ну вы оптимист
__label__NO;Ну єслі ви хатітє єсть  ето вам до хла Володимировича
__label__NO;Ну судячі з гнилого базару в ВР то незабаром і тести будуть робити по сортувальним протоколам і не важливо які симптоми
__label__HATE ;Ну та бо в кацапів є зайва хромосома   то і вірус мусить якось підстроюватись 
__label__NO;ньой Та зібрать їх усіх і Ракетонсій Зеніт їм в сраку і на х з планети
__label__NO;нюхают у друг друга под хвостом
__label__NO;"О жінка сціпанова потирає руки з такимтупим населеннчм ""єпіздемія ""триватиме завжди"
__label__NO;О-о
__label__NO;оби(безсимптомні з хорошим імунітетом) приїзжають з міста в села до родичів
__label__NO;обів і ненайдурніших лахтінських негідників типу Татьянів Лавренко
__label__NO;"Обсяги ""Великого будівництва"" ЗЕленої банди чомусь менше будівництва 2019р"
__label__NO;ово бути дурним (с)
__label__NO;Ого
__label__NO;Ой як добре
__label__NO;Оля була моєю подругою  я не можу відійти від шоку  померла надзвичайно добра Людина з великим сердцем  ******* мама 11 річного сина
__label__NO;Оля була у зоні ризику  лікарів і педаговів мали б лікувати на 101% за кошти держави
__label__HATE ;Оон и воз вкусно харчуемо китайскими камуняками 
__label__HATE ;Ось непогане відео про чисельність рабсіян https://www
__label__NO;ось тільки тоді зможете зтримати в нужному руслі епідемію
__label__NO;Ось уже і не загорами (для відома і любителів зеленої порослі і путінського ОПЗЖ)  при оголошеному дефіциті державного бюджету понад 111 млрд
__label__NO;От коли хтось із твоїх рідних чи знайомих захворіє на цю заразу і  упаси  скопититься - тоді гавкатимеш по-іншому
__label__NO;Пам'ятаю початок коронабєсія  а тут з Америки у Європу на навчання перекидають 40к військових
__label__NO;Пан Шмигаль ну не треба пи
__label__NO;паскудники  дайте нам звіт за кожну копійку  яку ви витратили з фонду боротьби з ковідом
__label__NO;Патамушта то всьо від папірєднікав з якими зелень і досі воює
__label__NO;пенси минулої неділі на вибори як на свято перлись
__label__NO;Перефразуючи кацапський фольклор:  На горе стоит козёл - Золотые рожки  Дохтуров Лука е[b]ёт За ведро картошки
__label__NO;Перехворіють всі
__label__NO;Перший експеримент вчені типу Ральфа Баріка роблять на білих мищах  тобто в Україні на медиках і військових
__label__NO;пише що нічого подібного там немає  постанови у штатах з мобільними моргами  постанови з військовими вантажівками з трунами 3-х річної давності
__label__NO;Пі)(уй буцати буду обох 
__label__NO;Під новий рік він ще узаконить продраціон білорусам
__label__NO;Після виборів  вся Україна буде в червоній зоні
__label__HATE ;Пішли у сраку  зе-мерзото
__label__NO;Планував після тижня гарування повернутися знову на тиждень у Львів  але 23 жовтня Польща точно попаде у червону зону і Авкян засадить мене на два тижні карантину
__label__NO;По 17 тисчонц з рила  разом буде 17х7=119 тис
__label__NO;По данным Министерство здравоохранения  число умерших от COVID-19 в Украине за последний месяц увеличилось более чем вдвое Источник: https://censor
__label__NO;По-перше  Оля писала 14 числа  що ліків не вистачає і чоловік змушений купувати ліки сам  що лікарі роблять все можливе  але вони самі заручники ситуації
__label__NO;"Подивимося через місяць що вам буде ""інтєрєсно""(( Вже зараз до лікарні майже по блату через ось таких ""інтєрєсних""   а через місяцьок вони свою ""набожність"" разом з вірусом половині держави роздадуть (( московські попи у лаврі вже трішки позатихали як вірус у жопу довбонув (( іще якби ось таких грамотіям мізки підправив "
__label__HATE ;Позор ЗЕбільним вироДкам
__label__HATE ;"Поки лохи ""хавають"" тре їм лєгурярно по вухам їздить "
__label__NO;полководці хренові
__label__NO;полоководець
__label__NO;Потім з Берґамо  знайомий брата там за 5 км від Берґамо проживає
__label__NO;похуду да эти нюхачи еще те
__label__NO;"Поцик )) готуй свою неприховану маскою пичку до фізичних контактів із принциповими громадянами   які тобі незабаром будуть регулювати довжину вдиху і видиху )) Ну і трішки грошей на той випадок якщо до громадян тебе поліція зустріне )) від сьогодні всі ""рахмани"" за кожну дихальну вправу сплачуватимуть у громадських місцях від 170 до 250 грн на місці дихальних процедур ))"
__label__NO;предаторе  як ж вам балбесу написав  статтю переклав з англійською мови на українську (а не на сталінку  якою ви послуговуєтеся)
__label__NO;при тому  що мы вже на усіх парах мчимо до зараження усієї країни - скажу так - статистична модель на весну 2021 року показує смертність десь біля 2 мільйонів виборців України
__label__NO;При цьому в них з/п більше 20000грн  а в спеціалістів менше 5000грн
__label__NO;придурки бл
__label__NO;Примітивний звіздьож
__label__NO;Принесли папірці підписав й нудися весь день
__label__NO;Принц на білому канє пріскакал  поцілував лєжащєго - і той ожив
__label__HATE ;Природа вирішила  що на цій планеті розвелося забагато мавп і дала команду еволюції вирішити цю проблему самотужки  якщо мавпи самі на це не здатні
__label__NO;Притомного скептика можуть переконати в хибності його думок факти
__label__NO;Про шо ти 3
__label__NO;Про що ти  тварино 3
__label__HATE ;програєм не МИ а ви  дятли зебілні
__label__NO;Прогулянка на 1-2 години  у гриби можна скокнути автівкою
__label__NO;Протоколи сортировки кажете
__label__NO;пруфи того  про що ти ляпаєш як корова на асфальт
__label__NO;пси
__label__NO;ПЦР тестів провідних виробників  зробити їх безкоштовними і ввести штрафи за відмову проведення 2) апгрейднути антиковідну аплікацію з обов'язковою прив'язкою геопозиції і результатів тестів через QR код 3) штрафувати вихід тіла старшого 16 років з власного помешкання без аплікації  посвідчення особи  банківської карти або готівкових 3000 гр 4) контролери (поліцаї  охорона магазинів  провідники   контролериї) повинні при кожній перевірці вмикати камеру регістратор або відео на смартфоні 5) ну і т
__label__HATE ;"Раз японці - ""закончєнниє ідіоти""  то хто тоді ти"
__label__NO;Раніше зебілам не до цього було  вони наші гроші в асфальт закатували
__label__HATE ;Резиновая женщина тоже альтернатива - для зебилов
__label__NO;Ркальна цифра може сягнути й 3 мільйонів - якщо медицина не впорається з еавантаженням та почнуться заворушення
__label__NO;робочі місця гідна оплата праці 
__label__NO;Розпочали вакцінацію аленей 
__label__HATE ;Росія повсякчас жила і живе за рахунок грабунку земель поневолених народів
__label__NO;с ковідом не було мобілізаціїї 
__label__HATE ;С нашими зебилами таких результатов не достичь
__label__HATE ;свінорус не підгорай убогий
__label__NO;Сектантка
__label__NO;Серйозно до рішень Зе-команди уже відноситись не можна
__label__NO;Ситуація швидко перетворюється зі складної на катастрофічну
__label__NO;Сімейники з того що вже є нічого не роблять
__label__NO;Скажіть  а Ляшко- це прізвище чи діагноз
__label__HATE ;Сказки для зебилов
__label__NO;Слухай  перед тим як лікар дав мені направлення на безкоштовне ПЦР я робив платний тест як ти кажеш за 3-4 години і він ніхрена не показав  потім на слідуючий день я пішов у поліклініку до свого лікаря він дав направлення  проїхали додому взяли мазки і через три дні підтвердився КОВІД
__label__NO;Спитайте у румун  що таке справжній соціяльний вибух
__label__NO;срочьна завєзті ім бєндер
__label__NO;Степанов
__label__NO;Степашка якщо ти не помітив то між малоймовірним ризиком смерті від ковідки і 100% смертю від голоду - народ вже все порішав
__label__HATE ;Судячи по матеріалам із вільних джерел  українська вакцина насправді то кацапський спутнік
__label__NO;"сьогодні вранці їхав в Дніпрі автобусом  Забитий під зав""язку"
__label__HATE ;Та вони по життю мутанти  ім й жоден вірус не потрібен
__label__NO;Та і ***** на виборах набирав 146%  а наш членограй 73%
__label__NO;Та і влада має бути не з дебілів
__label__NO;Та лєчєніе безкоштовне наче  зелені заявляють і припіздєнт каже  що краще ніж у європі
__label__NO;"та нехай би на собі і спробував і влаштував реаліті-шоу ""Виживу-не виживу"" за мотивами гри ""Ромашка"""
__label__NO;та ні
__label__NO;Та ніхто і не заражався
__label__HATE ;Та пікуй  коронавірус прийде і порядок наведе  а особливо упоротих баранів з собою забере
__label__NO;та хоч би поряд  в хорьковську
__label__NO;та хоч повиздихайте
__label__HATE ;та ці най дохнуть мусара не люди
__label__HATE ;Та шо там слухати убого португальского лівака-соціаліста
__label__NO;"Та щз ними трапилось як з зерном Держрезерву  тільки це вже не миші  а ""хом*яки"""
__label__NO;Так здихають інтенсивно що стєпашка не встигає їх добивати
__label__NO;так і буде
__label__HATE ;так може воно так і звучить - ЛОКалізуйте ДАУНів 😌
__label__NO;Так що  не вберігають ганчірки від ковідки 
__label__HATE ;так що русько- китайозовский піпец підкрався як завжди непомітно
__label__HATE ;Так що я не проти 20-30% того лугандонців
__label__NO;таке враження  що вони до сих пір знімають серіальчик
__label__NO;такими чотирьма УБЛЮДКАМИ 
__label__NO;Такіє русккєє людє--на цєну какаїну
__label__HATE ;там  де москалям дозволяють підсипати  там високі показники з приросту захворюваності
__label__NO;Там і кабмін з ОПою помістяться
__label__NO;Там хворих лікують у нас хворі помирають
__label__NO;Тварі  що заробили на масках  гроші на Ковід без тендерів розікрали на дорогах  не мають права щось радити народу
__label__NO;Ти дегенерат  який обіжрався жидо масонського лайна
__label__HATE ;Ти напевно кацап  такий тупий (:
__label__NO;ти тихенько з жартами  ті зелені уроди читають Цензор і найгірше втілюють в життя
__label__NO;Тим більше  що в Китаї постійно наголошується  що ці нові випадки приїжджають з інших країн  Те  що у світі вважається смертельно небезпечним вірусом SARS-COV-2 і такою ж страшною хворобою від нього COVID-19  в Китаї поборено дуже швидко - за якихось півтора місяця
__label__HATE ;Тим більше  що і так щораз менше хочеться з повротем у країну  де з 4-х людей  троє - зебіли
__label__NO;типу чесні
__label__NO;Ті декілька 15-30 нових щоденних випадків корони  про які продовжує повідомляти влада Китаю  на півтора мільярда населення країни - це фактичний нуль
__label__NO;ті миші  що зерно з`їли - зараз на джипах їздять далі щось в держави їздять
__label__NO;Тільки 26 квітня з незрозумілих обставин Китай додає 325 нових випадків і перераховує кількість смертельних випадків на плюс 1290  Після 17 квітня в Китаї від корони взагалі якимсь дивом дивним помирати перестали
__label__NO;Тільки от фуйня якась вийшла  за перше півріччя 2020 померло на 12 5к менше ніж за перше півріччя 2019
__label__NO;Тільки спробуйте простих добрих людей сортувати Мій вам протокол- Захворів високопосадовець алігарх суддя начальничек і бандюк вор грабіжник урка і т
__label__NO;Тільки хто уроки вестиме
__label__NO;То ви кацапiв начитались
__label__NO;То випадково
__label__HATE ;"То мова йшла про ефективність ""зебілів""  а не про загальні тенденції"
__label__HATE ;То рашистські боти про бeзпeку ковід пиширювали пропаганлу  а 73 відсотки підхопили дурницю
__label__NO;То Україна не купує кацапський газ
__label__NO;То це та вакцина яку медведчук випросив у путіна для України і яку собі вколов
__label__NO;Тобто чим гірше медицинське обслуговування тим більше здорових людей
__label__NO;тобто якщо в лікарні немає можливості запустити дизель і забезпечити електрикою операційну та реанімацію  то для цього необхідно щоб хтось помер  щоб головний лікар лікарні  та інші пацюки почали рухати мозком
__label__HATE ;Только лохи верят обіцянкам зебила
__label__HATE ;Тому бідна країна  у якій 73 відсотки громадян - ідіоти
__label__NO;Тому пропоную внести в протиковвдний безкоштовний пакет 5 кг свіжого асфальту
__label__NO;Тормоз  ти хоть прочитай  що людина написала - це ж про тобі подібних кончених
__label__NO;Треба було б і з власного боку закрити
__label__NO;Треба карантин для шкіл і садочків ввести  тоді зупините пандемію 
__label__NO;Треба подати петицію про перейменування Харкова у Гепатітіньск
__label__NO;Три способи боротьби з covid-19: Китайський - вбухати великі гроші на лікарні Шведський - не робити нічого Зеленський - оголосити китайський  застосувати шведський  різницю роздерибанити
__label__NO;тупі
__label__NO;Тут можна посперечатись
__label__NO;Тюремний термін тобі нада увєлічіть
__label__NO;"У Вас фальстарт  зачекайте до 1 січня  тоді й починайте кампанію ""викриття"""
__label__NO;У відсотках від чисельності фракції порахуй  зЁлопе
__label__HATE ;"У деяких малограмотних в полтавській і харківський зєявився новий масовий дебільний мем - ""ми усі перехворіємо"""
__label__NO;У Європі кожні 17 секунд від коронавірусу помирає одна людина - ВООЗ А нам надо дороги делать
__label__NO;У зебіла після кожної д
__label__NO;У масці був я і ще людей може 7-10
__label__HATE ;"У тих самих місцях  де й ""невіруни""  у яких все це ""звичайний гріп"""
__label__HATE ;У хранції 67 мільйонів власного населення + емігранти головорізи
__label__NO;Ублюдочні слуги у Херсоні не допрацьовують
__label__NO;Ужгород впритул до кордону з словаками
__label__NO;"уй перевибори (котрі зе не хоче допустити)  якщо Зе в ""прольоті"" по всій Україні на місцевих виборах"
__label__HATE ;Україна багата країна  в тому числі і на ідіотів
__label__NO;"Україна з ""Великим будівництвом"" НЕ дотягнула до обсягів будівництва 2019 р"
__label__NO;Украіні негайно треба: 1) Перевести учнів 5-11 класів на дистанційне навчання  так як саме школяри сприяють швидкому поширенню вірусу  заражаючись без масок в переповнених школах
__label__NO;"українці самі ""розумні"""
__label__HATE ;Умнік русскочєлюстной  тобі поумнічать ні щким  що ти у форум приліз
__label__NO;Ураганний міністр охорони здоров'я - це щоб ні за що не віповідати що ніх*ра не робиться  а лише розкручується паніка Вірусології для нього не існує - вакцинами від грипу та короновірусів  які завжди мутують  обмеженнями в просторі та активному способі життя  угроблять імунку населення  Не говорячи вже про суцільне обідніння населення і психічного нагнітання вже роками - крадійство  корупція  злодії і колаборанти у владі  в судах та інших силових структурах Інформаційне сміття від олігархічних медіа  нагнітання психозу і безнадії в розвитку  майбутньому в країні  щодня поливають українців брудом  про вбивства  крадіжки  насильство  руйнування освіти  усього українського 
__label__NO;уя не розуміють 
__label__NO;Уявіть  оця дрібна бібізяна присвоїла кошти  які здобула попередня команда у війні з рашкою  і пустила в розпал епідемії на свій піар - велике будівництво зеленського
__label__HATE ;хай заразять вірусом всіх зелених та провакцинують  а потім побачимо чи можна цю вакцину приймати ЛЮДЯМ
